macrogroup_id,macrogroup_name,education_level,fgos_code,program_name,institution_name,region,budget_seats,url,id
1,IT и цифровые технологии,Высшее,09.03.01,Прикладная информатика,Московский государственный университет,Москва,25,https://example.com/msu/pi,1
1,IT и цифровые технологии,СПО,09.02.07,Программирование в компьютерных системах,Московский колледж информатики,Москва,15,https://example.com/mci/pcs,2
2,Энергетика и энергомашиностроение,Высшее,13.03.01,Теплоэнергетика и теплотехника,Московский энергетический институт,Москва,30,https://example.com/mei/teh,3
3,Машиностроение,Высшее,15.03.01,Машиностроение,Бауманское московское высшее техническое училище,Москва,40,https://example.com/bmstu/me,4
4,Транспорт,СПО,23.01.03,Техническое обслуживание и ремонт автомобильного транспорта,Московский автомеханический колледж,Москва,20,https://example.com/mac/torat,5
5,Строительство,Высшее,08.03.01,Строительство,Санкт-Петербургский государственный архитектурно-строительный университет,Санкт-Петербург,35,https://example.com/spbgasu/construction,6
6,Медицина и здравоохранение,Высшее,31.03.01,Лечебное дело,Российский национальный исследовательский медицинский университет им. Н.И. Пирогова,Москва,50,https://example.com/rnirmu/medicine,7
7,Педагогика и образование,Высшее,44.03.01,Педагогическое образование,Московский педагогический государственный университет,Москва,45,https://example.com/mpgu/education,8
8,Экономика и управление,Высшее,38.03.01,Экономика,Финансовый университет при Правительстве РФ,Москва,38,https://example.com/finuniv/economics,9
9,Право и юриспруденция,Высшее,40.03.01,Юриспруденция,Российская академия народного хозяйства и государственной службы при Президенте РФ,Москва,22,https://example.com/ranguit/law,10
